id,DATE,P_CONVERT_30D_XGB,ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,behavior_pattern,likely_stage,playbook_focus,urgency,subject_line,opening_line,genai_raw
1436,2020-07-26,0.90149033,16000001.0,11 to 25,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I'd love to help you get back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I'd love to help you get back on track.""}"
5182,2020-07-26,0.89339256,16000001.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
3608,2020-07-26,0.8586385,6278610.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a dip in your team's activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a dip in your team's activity and would love to help you get back on track.""}"
2770,2020-07-26,0.8535243,4110064.0,26 to 50,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Get Your Team Engaged Again,"I noticed your team's activity has slowed down, and I'm here to help re-engage them.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Get Your Team Engaged Again"", ""opening_line"": ""I noticed your team's activity has slowed down, and I'm here to help re-engage them.""}"
5196,2020-07-26,0.8514175,265293.0,201 to 1000,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,I've noticed a drop in activity and wanted to check in on how we can support your team.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed a drop in activity and wanted to check in on how we can support your team.""}"
3828,2020-07-26,0.84780324,16000001.0,6 to 10,CONSUMER_ELECTRONICS,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Revive Your Engagement,We've noticed a dip in your team's activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Revive Your Engagement"", ""opening_line"": ""We've noticed a dip in your team's activity and would love to help you get back on track.""}"
4809,2020-07-26,0.8353599,3772095.0,11 to 25,COMPUTER_SOFTWARE,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's recent activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's recent activity has slowed down, and I'm here to help get things moving again.""}"
5001,2020-07-26,0.80425745,3780704.0,6 to 10,COMPUTER_SOFTWARE,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's recent activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's recent activity has slowed down, and I'm here to help get things moving again.""}"
469,2020-07-26,0.8031626,3308185.0,11 to 25,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Get Your Team Engaged Again,"I've noticed your team's activity has slowed down, and I'm here to help re-engage them.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Get Your Team Engaged Again"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help re-engage them.""}"
2120,2020-07-26,0.791686,1028080.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
689,2020-07-26,0.77096,781922.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I wanted to help you get back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I wanted to help you get back on track.""}"
3585,2020-07-26,0.7525455,4983627.0,,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team's activity has slowed down, and I'm here to help get things back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team's activity has slowed down, and I'm here to help get things back on track.""}"
4611,2020-07-26,0.7524919,7774459.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,I've noticed your team's recent activity and wanted to check in on how we can help boost engagement.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's recent activity and wanted to check in on how we can help boost engagement.""}"
3366,2020-07-26,0.7299441,635988.0,201 to 1000,Technology - Hardware and Equipment,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I wanted to check in to see how we can help.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I wanted to check in to see how we can help.""}"
4055,2020-07-26,0.7225161,1502617.0,6 to 10,,Single-user heavy,Expansion opportunity,Team invites,reach_out_now,Unlock Team Collaboration Today,"Hi there, I noticed you're using our platform solo and wanted to share how expanding your team could enhance your experience.","{""behavior_pattern"": ""Single-user heavy"", ""likely_stage"": ""Expansion opportunity"", ""playbook_focus"": ""Team invites"", ""urgency"": ""reach_out_now"", ""subject_line"": ""Unlock Team Collaboration Today"", ""opening_line"": ""Hi there, I noticed you're using our platform solo and wanted to share how expanding your team could enhance your experience.""}"
4436,2020-07-26,0.7168846,531482.0,2 to 5,HOSPITALITY,High Deals + Multi-user,Pipeline-driven,Forecasting + automation,reach_out_now,Maximize Your Deal Potential Today,I noticed your impressive deal activity and wanted to discuss how we can enhance your pipeline efficiency.,"{""behavior_pattern"": ""High Deals + Multi-user"", ""likely_stage"": ""Pipeline-driven"", ""playbook_focus"": ""Forecasting + automation"", ""urgency"": ""reach_out_now"", ""subject_line"": ""Maximize Your Deal Potential Today"", ""opening_line"": ""I noticed your impressive deal activity and wanted to discuss how we can enhance your pipeline efficiency.""}"
4988,2020-07-26,0.71410096,16000001.0,2 to 5,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I wanted to check in to see how we can help.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I wanted to check in to see how we can help.""}"
5034,2020-07-26,0.7128201,16000001.0,2 to 5,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help you get back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help you get back on track.""}"
3903,2020-07-26,0.7122409,1207682.0,11 to 25,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
1731,2020-07-26,0.71215695,6515311.0,2 to 5,,Single-user heavy,Expansion opportunity,Team invites,reactivate,Unlock Team Collaboration Today,Let's explore how adding team members can enhance your experience.,"{""behavior_pattern"": ""Single-user heavy"", ""likely_stage"": ""Expansion opportunity"", ""playbook_focus"": ""Team invites"", ""urgency"": ""reactivate"", ""subject_line"": ""Unlock Team Collaboration Today"", ""opening_line"": ""Let's explore how adding team members can enhance your experience.""}"
4228,2020-07-26,0.7079857,16000001.0,6 to 10,MACHINERY,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team hasn't been active lately, and I wanted to see how we can help re-engage you.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team hasn't been active lately, and I wanted to see how we can help re-engage you.""}"
4483,2020-07-26,0.6897612,16000001.0,6 to 10,MARKET_RESEARCH,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a dip in your activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a dip in your activity and would love to help you get back on track.""}"
2911,2020-07-26,0.67772484,6122014.0,51 to 200,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
3413,2020-07-26,0.67094976,3904857.0,11 to 25,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a drop in your activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a drop in your activity and would love to help you get back on track.""}"
4834,2020-07-26,0.6566043,16000001.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a drop in activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a drop in activity and would love to help you get back on track.""}"
4691,2020-07-26,0.65111274,16000001.0,2 to 5,,High Deals + Multi-user,Pipeline-driven,Forecasting + automation,reach_out_now,Maximize Your Deal Pipeline Efficiency,I noticed your team has been actively engaging with deals and wanted to share some strategies to enhance your pipeline management.,"{""behavior_pattern"": ""High Deals + Multi-user"", ""likely_stage"": ""Pipeline-driven"", ""playbook_focus"": ""Forecasting + automation"", ""urgency"": ""reach_out_now"", ""subject_line"": ""Maximize Your Deal Pipeline Efficiency"", ""opening_line"": ""I noticed your team has been actively engaging with deals and wanted to share some strategies to enhance your pipeline management.""}"
4140,2020-07-26,0.65055376,2926723.0,2 to 5,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,We've noticed a drop in activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""We've noticed a drop in activity and would love to help you get back on track.""}"
3734,2020-07-26,0.6489634,6510014.0,,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a drop in your team's activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a drop in your team's activity and would love to help you get back on track.""}"
4200,2020-07-26,0.6485785,2346329.0,26 to 50,MARKETING_AND_ADVERTISING,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's recent activity has slowed down, and I wanted to check in to see how we can help.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's recent activity has slowed down, and I wanted to check in to see how we can help.""}"
727,2020-07-26,0.62857956,814822.0,1001 to 10000,HOSPITAL_HEALTH_CARE,High Email,Outreach-focused,Sequences + tracking,reach_out_now,Maximize Your Email Engagement Today,I noticed your team has been actively using email; let's enhance your outreach strategy.,"{""behavior_pattern"": ""High Email"", ""likely_stage"": ""Outreach-focused"", ""playbook_focus"": ""Sequences + tracking"", ""urgency"": ""reach_out_now"", ""subject_line"": ""Maximize Your Email Engagement Today"", ""opening_line"": ""I noticed your team has been actively using email; let's enhance your outreach strategy.""}"
1484,2020-07-26,0.624706,545283.0,201 to 1000,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a drop in activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a drop in activity and would love to help you get back on track.""}"
2901,2020-07-26,0.61841583,4024257.0,26 to 50,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I wanted to check in to see how we can help.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I wanted to check in to see how we can help.""}"
1535,2020-07-26,0.6181149,3334667.0,11 to 25,MECHANICAL_OR_INDUSTRIAL_ENGINEERING,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help you get back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help you get back on track.""}"
949,2020-07-26,0.6121729,3370133.0,6 to 10,"Health, Medical, & Wellness",Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
3967,2020-07-26,0.60511774,2731269.0,11 to 25,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Activity,I've noticed your team's recent inactivity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Activity"", ""opening_line"": ""I've noticed your team's recent inactivity and would love to help you get back on track.""}"
1997,2020-07-26,0.6044009,16000001.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I wanted to see how we can help re-engage you.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I wanted to see how we can help re-engage you.""}"
2166,2020-07-26,0.59745574,16000001.0,26 to 50,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,"I noticed your team hasn't been active lately, and I wanted to check in.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I wanted to check in.""}"
1080,2020-07-26,0.5910405,16000001.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I'd love to help you get back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I'd love to help you get back on track.""}"
661,2020-07-26,0.5910242,651208.0,1001 to 10000,DEFENSE_SPACE,High Email,Outreach-focused,Sequences + tracking,reach_out_now,Maximize Your Email Engagement Today,I noticed your recent email activity and wanted to discuss how we can enhance your outreach efforts.,"{""behavior_pattern"": ""High Email"", ""likely_stage"": ""Outreach-focused"", ""playbook_focus"": ""Sequences + tracking"", ""urgency"": ""reach_out_now"", ""subject_line"": ""Maximize Your Email Engagement Today"", ""opening_line"": ""I noticed your recent email activity and wanted to discuss how we can enhance your outreach efforts.""}"
4421,2020-07-26,0.5824187,16000001.0,201 to 1000,Business Consulting,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I'd love to help you get back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I'd love to help you get back on track.""}"
2227,2020-07-26,0.5820796,16000001.0,2 to 5,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a dip in your activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a dip in your activity and would love to help you get back on track.""}"
2117,2020-07-26,0.5793777,9493029.0,2 to 5,,High Deals + Multi-user,Pipeline-driven,Forecasting + automation,reach_out_now,Maximize Your Deal Forecasting Today,I noticed your team has been actively closing deals and wanted to share some insights on enhancing your forecasting process.,"{""behavior_pattern"": ""High Deals + Multi-user"", ""likely_stage"": ""Pipeline-driven"", ""playbook_focus"": ""Forecasting + automation"", ""urgency"": ""reach_out_now"", ""subject_line"": ""Maximize Your Deal Forecasting Today"", ""opening_line"": ""I noticed your team has been actively closing deals and wanted to share some insights on enhancing your forecasting process.""}"
4229,2020-07-26,0.5659087,1864326.0,2 to 5,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
4189,2020-07-26,0.5524036,1717110.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help you get back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help you get back on track.""}"
3426,2020-07-26,0.5464995,16000001.0,2 to 5,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
3782,2020-07-26,0.5419773,2033028.0,,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I'm here to help get things moving again.""}"
712,2020-07-26,0.54071933,3966297.0,2 to 5,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Get Your Team Engaged Again,"I noticed your team hasn't been active lately, and I'd love to help re-engage them.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Get Your Team Engaged Again"", ""opening_line"": ""I noticed your team hasn't been active lately, and I'd love to help re-engage them.""}"
4833,2020-07-26,0.5373186,3466062.0,11 to 25,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I wanted to see how we can help re-engage you.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I wanted to see how we can help re-engage you.""}"
3722,2020-07-26,0.51326174,2453218.0,2 to 5,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I wanted to check in.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I wanted to check in.""}"
4803,2020-07-26,0.51284975,8723086.0,,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a drop in activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a drop in activity and would love to help you get back on track.""}"
